"case_id","jsonl_line","suite_id","prompt","execution_status","request_ms","completed_main_model_turns","raw_model_timeouts","tool_calls","tool_successes","tool_error_codes","current_source_count","citation_count","raw_tool_elapsed_ms","reported_tool_elapsed_ms","automatic_observation_flags","review_scope","finding_ids","review_note"
"historical-default-013","13","historical-default","RAM còn trống bao nhiêu?","PASS","36594","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-014","14","historical-default","Ram usage hiện tại?","PASS","40174","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-015","15","historical-default","Những cổng nào đang listen?","PASS","71525","3","0","2","1","exposed_for_retry","1","0","305","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-016","16","historical-default","Có cổng nào đang mở không?","PASS","39255","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-017","17","historical-default","Load average hiện tại?","PASS","42971","1","0","0","0","","0","0","0","0","no_tool_this_turn","confirmed_issue","F07","Phủ nhận khả năng đọc dữ liệu/công cụ hoặc quy lỗi quyền khi chưa có bằng chứng tương ứng."
"historical-default-018","18","historical-default","CPU có bao nhiêu core?","PASS","40224","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-019","19","historical-default","Danh sách các service đang chạy","PASS","45494","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-020","20","historical-default","Top process đang chiếm CPU nhiều nhất","PASS","42192","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-021","21","historical-default","Ổ đĩa / đang dùng bao nhiêu %? Có nguy cơ đầy không?","PASS","49741","1","0","0","0","","0","0","0","0","no_tool_this_turn","confirmed_issue","F07","Phủ nhận khả năng đọc dữ liệu/công cụ hoặc quy lỗi quyền khi chưa có bằng chứng tương ứng."
"historical-default-022","22","historical-default","Dung lượng ổ cứng còn lại bao nhiêu?","PASS","40050","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-023","23","historical-default","Filesystem /var có đầy không?","PASS","40455","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-024","24","historical-default","Load average hiện tại thế nào, có ổn không?","PASS","43900","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-025","25","historical-default","Memory usage có đang cao không?","PASS","45317","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-026","26","historical-default","Swap usage có đáng lo không?","PASS","41070","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-027","27","historical-default","CPU load có bị quá tải không?","PASS","40959","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-028","28","historical-default","Có service nào bị failed không?","PASS","71308","3","0","2","1","exposed_for_retry","1","0","303","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-029","29","historical-default","Disk iowait hiện tại ra sao?","PASS","41880","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-030","30","historical-default","Inode còn nhiều không?","PASS","40636","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-031","31","historical-default","Có cảnh báo (alert) nào từ Zabbix không?","PASS","61168","3","0","2","1","exposed_for_retry","1","1","97","0","canonical_result_truncated","targeted_observation","F11","Kiểm tra ranh giới kết quả đầy đủ/projection bị lược; không suy thiếu dữ liệu thành không có sự kiện."
"historical-default-032","32","historical-default","Có trigger nào đang active không?","PASS","68249","3","0","2","1","exposed_for_retry","1","0","301","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-033","33","historical-default","Tình trạng chung của hệ thống thế nào?","PASS","46559","1","0","0","0","","0","0","0","0","no_tool_this_turn","targeted_observation","F06","Dùng ngữ cảnh lịch sử; cần phân biệt câu hỏi hồi cứu, độ mới, snapshot và khả năng kết luận sức khỏe/xu hướng."
"historical-default-034","34","historical-default","Server có đang gặp sự cố gì nghiêm trọng không?","PASS","44577","1","0","0","0","","0","0","0","0","no_tool_this_turn","targeted_observation","F06","Dùng ngữ cảnh lịch sử; cần phân biệt câu hỏi hồi cứu, độ mới, snapshot và khả năng kết luận sức khỏe/xu hướng."
"historical-default-035","35","historical-default","Có process nào đang ăn RAM bất thường không?","PASS","44164","1","0","0","0","","0","0","0","0","no_tool_this_turn","confirmed_issue","F07","Phủ nhận khả năng đọc dữ liệu/công cụ hoặc quy lỗi quyền khi chưa có bằng chứng tương ứng."
"historical-default-036","36","historical-default","Có vấn đề gì không?","PASS","41782","1","0","0","0","","0","0","0","0","no_tool_this_turn","targeted_observation","F06","Dùng ngữ cảnh lịch sử; cần phân biệt câu hỏi hồi cứu, độ mới, snapshot và khả năng kết luận sức khỏe/xu hướng."
"historical-default-037","37","historical-default","Có lỗi gì không?","PASS","42252","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-038","38","historical-default","Có ổn không?","PASS","43602","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-039","39","historical-default","Hoạt động tốt không?","PASS","44137","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-040","40","historical-default","Tình trạng thế nào?","PASS","44194","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-041","41","historical-default","Đang gặp vấn đề gì à?","PASS","41910","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-042","42","historical-default","Có sao không?","PASS","43184","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-043","43","historical-default","Máy có vấn đề gì không?","PASS","41046","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-044","44","historical-default","Hệ thống ổn định không?","PASS","44942","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-045","45","historical-default","Server chạy tốt không?","PASS","41948","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-046","46","historical-default","Any issues on the server?","PASS","41366","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-047","47","historical-default","Is it healthy?","PASS","42277","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-048","48","historical-default","Is it ok right now?","PASS","42272","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-049","49","historical-default","Is it stable?","PASS","44124","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-050","50","historical-default","Any problems I should know about?","PASS","44899","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-051","51","historical-default","Anything wrong with the machine?","PASS","45778","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-052","52","historical-default","Health check please","PASS","45322","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-053","53","historical-default","Status check","PASS","46340","1","0","0","0","","0","0","0","0","no_tool_this_turn","targeted_observation","POSITIVE","Có hành vi tích cực được ghi nhận; không phải accepted verdict cho toàn bộ câu trả lời."
"historical-default-054","54","historical-default","Check disk usage on serverabcxyz","PASS","45165","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-055","55","historical-default","Kiểm tra CPU trên máy khonghetontai123","PASS","44773","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-056","56","historical-default","Kiểm tra CPU trên srv01","PASS","43575","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-057","57","historical-default","srv01","PASS","40841","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-058","58","historical-default","srv01","PASS","41857","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-059","59","historical-default","Check memory on server1","PASS","42063","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-060","60","historical-default","Check memory on server2","PASS","40458","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-061","61","historical-default","Kiểm tra trạng thái sv01","PASS","40244","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-062","62","historical-default","Kiểm tra monitoring server","PASS","48796","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-063","63","historical-default","Kiểm tra mon","PASS","42609","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-064","64","historical-default","Kiểm tra zabbix_server","PASS","73483","3","0","2","1","exposed_for_retry","1","0","73","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-065","65","historical-default","Kiểm tra graphana","PASS","61682","3","0","1","0","exposed_for_retry","0","0","5","0","","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-066","66","historical-default","Check monitor server memory","PASS","66300","3","0","2","1","exposed_for_retry","1","0","305","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-067","67","historical-default","Check monitor server disk","PASS","69984","3","0","2","1","exposed_for_retry","1","0","302","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-068","68","historical-default","Kiểm tra CPU trên localhost","PASS","47562","1","0","0","0","","0","0","0","0","no_tool_this_turn","confirmed_issue","F04","Khẳng định đã quan sát/cấu hình hạ tầng nhưng trace không hỗ trợ; xem đối chiếu cụ thể trong REPORT.md."
"historical-default-069","69","historical-default","Sử dụng Grafana để xem CPU","PASS","53125","3","0","1","0","exposed_for_retry","0","0","3","0","","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-070","70","historical-default","Dùng Zabbix kiểm tra trạng thái host","PASS","76414","3","0","2","1","exposed_for_retry","1","0","67","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-071","71","historical-default","Xem dashboard Grafana cho memory","PASS","38976","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-072","72","historical-default","Lấy dữ liệu từ Zabbix về disk","MANUAL_REVIEW","115079","5","1","6","1","exposed_for_retry,exposed_for_retry,invalid_input,invalid_input,exposed_for_retry","1","0","332","0","runtime_incomplete;latency_over_90s;sourced_without_inline_citation;non_discovery_tool_error","runtime_incomplete","F02","Fallback vì request_deadline_exceeded; không có câu trả lời hoàn chỉnh để chứng nhận chất lượng."
"historical-default-073","73","historical-default","Dùng SSH kiểm tra trực tiếp trên máy","PASS","41474","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-074","74","historical-default","Grafana panel cho network traffic","PASS","36972","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-075","75","historical-default","Zabbix trigger nào đang active","PASS","60312","3","0","2","1","exposed_for_retry","1","0","70","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-076","76","historical-default","Query trực tiếp qua Linux tool, không dùng Grafana","PASS","53406","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-077","77","historical-default","Chỉ dùng Zabbix, không cần Grafana","PASS","67577","4","0","3","1","exposed_for_retry,invalid_input","1","0","139","0","sourced_without_inline_citation;non_discovery_tool_error","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-078","78","historical-default","So sánh dữ liệu Grafana và Zabbix cho CPU","PASS","46283","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-079","79","historical-default","Kiểm tra CPU usage hiện tại","PASS","70310","3","0","2","1","exposed_for_retry","1","1","1143","0","","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-080","80","historical-default","Chẩn đoán tại sao CPU load cao","PASS","55450","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-081","81","historical-default","So sánh CPU hôm nay với hôm qua","PASS","60818","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-082","82","historical-default","Tóm tắt tình trạng CPU","PASS","65782","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-083","83","historical-default","Dự đoán CPU usage trong giờ tới","PASS","63648","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-084","84","historical-default","Kiểm tra memory usage","PASS","64095","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-085","85","historical-default","Phân tích vì sao memory tăng cao","PASS","63314","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-086","86","historical-default","So sánh memory usage tuần này với tuần trước","PASS","61839","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-087","87","historical-default","Tóm tắt tình trạng bộ nhớ","PASS","65559","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-088","88","historical-default","Kiểm tra disk usage các partition","PASS","99054","3","0","2","1","exposed_for_retry","1","0","304","0","latency_over_90s;sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-089","89","historical-default","Điều tra tại sao disk đầy nhanh","MANUAL_REVIEW","115111","2","1","6","2","exposed_for_retry,exposed_for_retry,exposed_for_retry,upstream_error","2","0","888","0","runtime_incomplete;latency_over_90s;sourced_without_inline_citation;non_discovery_tool_error","runtime_incomplete","F02","Fallback vì request_deadline_exceeded; không có câu trả lời hoàn chỉnh để chứng nhận chất lượng."
"historical-default-090","90","historical-default","So sánh dung lượng đĩa hiện tại với tháng trước","PASS","59268","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-091","91","historical-default","Tóm tắt tình trạng ổ đĩa","PASS","93555","3","0","2","1","exposed_for_retry","1","0","298","0","latency_over_90s;sourced_without_inline_citation","confirmed_issue","F09","Lỗi phép đổi đơn vị/tỷ lệ/nhãn số liệu; xem chi tiết REPORT.md."
"historical-default-092","92","historical-default","Kiểm tra tình trạng network interfaces","PASS","66872","1","0","0","0","","0","0","0","0","no_tool_this_turn","confirmed_issue","F07","Phủ nhận khả năng đọc dữ liệu/công cụ hoặc quy lỗi quyền khi chưa có bằng chứng tương ứng."
"historical-default-093","93","historical-default","Chẩn đoán vì sao mạng chậm","PASS","82410","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-094","94","historical-default","Kiểm tra độ trễ (latency) hiện tại","PASS","62925","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-095","95","historical-default","Băng thông đang sử dụng bao nhiêu?","PASS","64450","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-096","96","historical-default","Kiểm tra GPU có đang hoạt động không","PASS","62013","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-097","97","historical-default","Máy có GPU Nvidia không?","PASS","62256","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-098","98","historical-default","Kiểm tra CUDA version","PASS","87149","3","0","2","0","exposed_for_retry,upstream_error","0","0","321","0","non_discovery_tool_error","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-099","99","historical-default","Hostname và tên máy hiện tại","PASS","61799","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-100","100","historical-default","Phiên bản kernel đang chạy là gì","PASS","65805","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-101","101","historical-default","Máy chạy được bao lâu rồi","PASS","63044","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-102","102","historical-default","Tải hệ thống (load) trung bình là bao nhiêu","PASS","86167","3","0","2","1","exposed_for_retry","1","1","303","0","","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-103","103","historical-default","Có alert nào đang active không","PASS","77489","3","0","2","1","exposed_for_retry","1","0","639","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-104","104","historical-default","Danh sách các sự cố (incident) gần đây","PASS","107833","3","0","2","1","exposed_for_retry","1","0","63","0","latency_over_90s;sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-105","105","historical-default","Xem dashboard tổng quan","PASS","57420","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-106","106","historical-default","Biểu đồ CPU trong 1 giờ qua","MANUAL_REVIEW","115068","1","1","1","0","exposed_for_retry","0","0","2","0","runtime_incomplete;latency_over_90s","runtime_incomplete","F02","Fallback vì request_deadline_exceeded; không có câu trả lời hoàn chỉnh để chứng nhận chất lượng."
"historical-default-107","107","historical-default","CPU trend hôm nay thế nào","MANUAL_REVIEW","115074","3","1","2","0","exposed_for_retry,invalid_input","0","0","10","0","runtime_incomplete;latency_over_90s;non_discovery_tool_error","runtime_incomplete","F02","Fallback vì request_deadline_exceeded; không có câu trả lời hoàn chỉnh để chứng nhận chất lượng."
"historical-default-108","108","historical-default","Xem trend memory 24 giờ qua","PASS","52232","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-109","109","historical-default","Danh sách các host đang được monitor","PASS","75632","3","0","2","1","exposed_for_retry","1","0","81","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-110","110","historical-default","Trạng thái monitoring của toàn hệ thống","PASS","110100","4","0","3","1","exposed_for_retry,invalid_input","1","0","73","0","latency_over_90s;sourced_without_inline_citation;non_discovery_tool_error","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-111","111","historical-default","Liệt kê các service đang chạy","PASS","63610","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-112","112","historical-default","Service nào đang bị stopped","PASS","56628","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-113","113","historical-default","Enable lại service nginx","PASS","52853","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-114","114","historical-default","Restart service nào đang failed","PASS","57548","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
